HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Liverpool,Bournemouth,4,2,H,E0_2018.csv
Aston Villa,Newcastle,0,0,D,E0_2018.csv
Brighton,Fulham,1,1,D,E0_2018.csv
Sunderland,West Ham,3,0,H,E0_2018.csv
Tottenham,Burnley,3,0,H,E0_2018.csv
Wolves,Man City,0,4,A,E0_2018.csv
Chelsea,Crystal Palace,0,0,D,E0_2018.csv
Nott'm Forest,Brentford,3,1,H,E0_2018.csv
Man United,Arsenal,0,1,A,E0_2018.csv
Leeds,Everton,1,0,H,E0_2018.csv
West Ham,Chelsea,1,5,A,E0_2018.csv
Man City,Tottenham,0,2,A,E0_2018.csv
Bournemouth,Wolves,1,0,H,E0_2018.csv
Brentford,Aston Villa,1,0,H,E0_2018.csv
Burnley,Sunderland,2,0,H,E0_2018.csv
Arsenal,Leeds,5,0,H,E0_2018.csv
Crystal Palace,Nott'm Forest,1,1,D,E0_2018.csv
Everton,Brighton,2,0,H,E0_2018.csv
Fulham,Man United,1,1,D,E0_2018.csv
Newcastle,Liverpool,2,3,A,E0_2018.csv
Chelsea,Fulham,2,0,H,E0_2018.csv
Man United,Burnley,3,2,H,E0_2018.csv
Sunderland,Brentford,2,1,H,E0_2018.csv
Tottenham,Bournemouth,0,1,A,E0_2018.csv
Wolves,Everton,2,3,A,E0_2018.csv
Leeds,Newcastle,0,0,D,E0_2018.csv
Brighton,Man City,2,1,H,E0_2018.csv
Nott'm Forest,West Ham,0,3,A,E0_2018.csv
Liverpool,Arsenal,1,0,H,E0_2018.csv
Aston Villa,Crystal Palace,0,3,A,E0_2018.csv
Arsenal,Nott'm Forest,3,0,H,E0_2018.csv
Bournemouth,Brighton,2,1,H,E0_2018.csv
Crystal Palace,Sunderland,0,0,D,E0_2018.csv
Everton,Aston Villa,0,0,D,E0_2018.csv
Fulham,Leeds,1,0,H,E0_2018.csv
Newcastle,Wolves,1,0,H,E0_2018.csv
West Ham,Tottenham,0,3,A,E0_2018.csv
Brentford,Chelsea,2,2,D,E0_2018.csv
Burnley,Liverpool,0,1,A,E0_2018.csv
Man City,Man United,3,0,H,E0_2018.csv
Liverpool,Everton,2,1,H,E0_2018.csv
Brighton,Tottenham,2,2,D,E0_2018.csv
Burnley,Nott'm Forest,1,1,D,E0_2018.csv
West Ham,Crystal Palace,1,2,A,E0_2018.csv
Wolves,Leeds,1,3,A,E0_2018.csv
Man United,Chelsea,2,1,H,E0_2018.csv
Fulham,Brentford,3,1,H,E0_2018.csv
Bournemouth,Newcastle,0,0,D,E0_2018.csv
Sunderland,Aston Villa,1,1,D,E0_2018.csv
Arsenal,Man City,1,1,D,E0_2018.csv
Brentford,Man United,3,1,H,E0_2018.csv
Chelsea,Brighton,1,3,A,E0_2018.csv
Crystal Palace,Liverpool,2,1,H,E0_2018.csv
Leeds,Bournemouth,2,2,D,E0_2018.csv
Man City,Burnley,5,1,H,E0_2018.csv
Nott'm Forest,Sunderland,0,1,A,E0_2018.csv
Tottenham,Wolves,1,1,D,E0_2018.csv
Aston Villa,Fulham,3,1,H,E0_2018.csv
Newcastle,Arsenal,1,2,A,E0_2018.csv
Everton,West Ham,1,1,D,E0_2018.csv
Bournemouth,Fulham,3,1,H,E0_2018.csv
Leeds,Tottenham,1,2,A,E0_2018.csv
Arsenal,West Ham,2,0,H,E0_2018.csv
Man United,Sunderland,2,0,H,E0_2018.csv
Chelsea,Liverpool,2,1,H,E0_2018.csv
Aston Villa,Burnley,2,1,H,E0_2018.csv
Everton,Crystal Palace,2,1,H,E0_2018.csv
Newcastle,Nott'm Forest,2,0,H,E0_2018.csv
Wolves,Brighton,1,1,D,E0_2018.csv
Brentford,Man City,0,1,A,E0_2018.csv
Nott'm Forest,Chelsea,0,3,A,E0_2018.csv
Brighton,Newcastle,2,1,H,E0_2018.csv
Burnley,Leeds,2,0,H,E0_2018.csv
Crystal Palace,Bournemouth,3,3,D,E0_2018.csv
Man City,Everton,2,0,H,E0_2018.csv
Sunderland,Wolves,2,0,H,E0_2018.csv
Fulham,Arsenal,0,1,A,E0_2018.csv
Tottenham,Aston Villa,1,2,A,E0_2018.csv
Liverpool,Man United,1,2,A,E0_2018.csv
West Ham,Brentford,0,2,A,E0_2018.csv
Leeds,West Ham,2,1,H,E0_2018.csv
Chelsea,Sunderland,1,2,A,E0_2018.csv
Newcastle,Fulham,2,1,H,E0_2018.csv
Man United,Brighton,4,2,H,E0_2018.csv
Brentford,Liverpool,3,2,H,E0_2018.csv
Arsenal,Crystal Palace,1,0,H,E0_2018.csv
Aston Villa,Man City,1,0,H,E0_2018.csv
Bournemouth,Nott'm Forest,2,0,H,E0_2018.csv
Wolves,Burnley,2,3,A,E0_2018.csv
Everton,Tottenham,0,3,A,E0_2018.csv
Brighton,Leeds,3,0,H,E0_2018.csv
Burnley,Arsenal,0,2,A,E0_2018.csv
Crystal Palace,Brentford,2,0,H,E0_2018.csv
Fulham,Wolves,3,0,H,E0_2018.csv
Nott'm Forest,Man United,2,2,D,E0_2018.csv
Tottenham,Chelsea,0,1,A,E0_2018.csv
Liverpool,Aston Villa,2,0,H,E0_2018.csv
West Ham,Newcastle,3,1,H,E0_2018.csv
Man City,Bournemouth,3,1,H,E0_2018.csv
Sunderland,Everton,1,1,D,E0_2018.csv
Tottenham,Man United,2,2,D,E0_2018.csv
Everton,Fulham,2,0,H,E0_2018.csv
West Ham,Burnley,3,2,H,E0_2018.csv
Sunderland,Arsenal,2,2,D,E0_2018.csv
Chelsea,Wolves,3,0,H,E0_2018.csv
Aston Villa,Bournemouth,4,0,H,E0_2018.csv
Brentford,Newcastle,3,1,H,E0_2018.csv
Crystal Palace,Brighton,0,0,D,E0_2018.csv
Nott'm Forest,Leeds,3,1,H,E0_2018.csv
Man City,Liverpool,3,0,H,E0_2018.csv
Burnley,Chelsea,0,2,A,E0_2018.csv
Bournemouth,West Ham,2,2,D,E0_2018.csv
Brighton,Brentford,2,1,H,E0_2018.csv
Fulham,Sunderland,1,0,H,E0_2018.csv
Liverpool,Nott'm Forest,0,3,A,E0_2018.csv
Wolves,Crystal Palace,0,2,A,E0_2018.csv
Newcastle,Man City,2,1,H,E0_2018.csv
Leeds,Aston Villa,1,2,A,E0_2018.csv
Arsenal,Tottenham,4,1,H,E0_2018.csv
Man United,Everton,0,1,A,E0_2018.csv
Brentford,Burnley,3,1,H,E0_2018.csv
Man City,Leeds,3,2,H,E0_2018.csv
Sunderland,Bournemouth,3,2,H,E0_2018.csv
Everton,Newcastle,1,4,A,E0_2018.csv
Tottenham,Fulham,1,2,A,E0_2018.csv
Crystal Palace,Man United,1,2,A,E0_2018.csv
Aston Villa,Wolves,1,0,H,E0_2018.csv
Nott'm Forest,Brighton,0,2,A,E0_2018.csv
West Ham,Liverpool,0,2,A,E0_2018.csv
Chelsea,Arsenal,1,1,D,E0_2018.csv
Bournemouth,Everton,0,1,A,E0_2018.csv
Fulham,Man City,4,5,A,E0_2018.csv
Newcastle,Tottenham,2,2,D,E0_2018.csv
Arsenal,Brentford,2,0,H,E0_2018.csv
Brighton,Aston Villa,3,4,A,E0_2018.csv
Burnley,Crystal Palace,0,1,A,E0_2018.csv
Wolves,Nott'm Forest,0,1,A,E0_2018.csv
Leeds,Chelsea,3,1,H,E0_2018.csv
Liverpool,Sunderland,1,1,D,E0_2018.csv
Man United,West Ham,1,1,D,E0_2018.csv
Aston Villa,Arsenal,2,1,H,E0_2018.csv
Bournemouth,Chelsea,0,0,D,E0_2018.csv
Everton,Nott'm Forest,3,0,H,E0_2018.csv
Man City,Sunderland,3,0,H,E0_2018.csv
Newcastle,Burnley,2,1,H,E0_2018.csv
Tottenham,Brentford,2,0,H,E0_2018.csv
Leeds,Liverpool,3,3,D,E0_2018.csv
Brighton,West Ham,1,1,D,E0_2018.csv
Fulham,Crystal Palace,1,2,A,E0_2018.csv
Wolves,Man United,1,4,A,E0_2018.csv
Chelsea,Everton,2,0,H,E0_2018.csv
Liverpool,Brighton,2,0,H,E0_2018.csv
Burnley,Fulham,2,3,A,E0_2018.csv
Arsenal,Wolves,2,1,H,E0_2018.csv
Crystal Palace,Man City,0,3,A,E0_2018.csv
Nott'm Forest,Tottenham,3,0,H,E0_2018.csv
Sunderland,Newcastle,1,0,H,E0_2018.csv
West Ham,Aston Villa,2,3,A,E0_2018.csv
Brentford,Leeds,1,1,D,E0_2018.csv
Man United,Bournemouth,4,4,D,E0_2018.csv
Newcastle,Chelsea,2,2,D,E0_2018.csv
Bournemouth,Burnley,1,1,D,E0_2018.csv
Brighton,Sunderland,0,0,D,E0_2018.csv
Man City,West Ham,3,0,H,E0_2018.csv
Wolves,Brentford,0,2,A,E0_2018.csv
Tottenham,Liverpool,1,2,A,E0_2018.csv
Everton,Arsenal,0,1,A,E0_2018.csv
Leeds,Crystal Palace,4,1,H,E0_2018.csv
Aston Villa,Man United,2,1,H,E0_2018.csv
Fulham,Nott'm Forest,1,0,H,E0_2018.csv
Man United,Newcastle,1,0,H,E0_2018.csv
Nott'm Forest,Man City,1,2,A,E0_2018.csv
Arsenal,Brighton,2,1,H,E0_2018.csv
Brentford,Bournemouth,4,1,H,E0_2018.csv
Burnley,Everton,0,0,D,E0_2018.csv
Liverpool,Wolves,2,1,H,E0_2018.csv
West Ham,Fulham,0,1,A,E0_2018.csv
Chelsea,Aston Villa,1,2,A,E0_2018.csv
Sunderland,Leeds,1,1,D,E0_2018.csv
Crystal Palace,Tottenham,0,1,A,E0_2018.csv
Burnley,Newcastle,1,3,A,E0_2018.csv
Chelsea,Bournemouth,2,2,D,E0_2018.csv
Nott'm Forest,Everton,0,2,A,E0_2018.csv
West Ham,Brighton,2,2,D,E0_2018.csv
Arsenal,Aston Villa,4,1,H,E0_2018.csv
Man United,Wolves,1,1,D,E0_2018.csv
Crystal Palace,Fulham,1,1,D,E0_2018.csv
Liverpool,Leeds,0,0,D,E0_2018.csv
Brentford,Tottenham,0,0,D,E0_2018.csv
Sunderland,Man City,0,0,D,E0_2018.csv
Aston Villa,Nott'm Forest,3,1,H,E0_2018.csv
Brighton,Burnley,2,0,H,E0_2018.csv
Wolves,West Ham,3,0,H,E0_2018.csv
Bournemouth,Arsenal,2,3,A,E0_2018.csv
Leeds,Man United,1,1,D,E0_2018.csv
Everton,Brentford,2,4,A,E0_2018.csv
Newcastle,Crystal Palace,2,0,H,E0_2018.csv
Tottenham,Sunderland,1,1,D,E0_2018.csv
Fulham,Liverpool,2,2,D,E0_2018.csv
Man City,Chelsea,1,1,D,E0_2018.csv
West Ham,Nott'm Forest,1,2,A,E0_2018.csv
Bournemouth,Tottenham,3,2,H,E0_2018.csv
Brentford,Sunderland,3,0,H,E0_2018.csv
Crystal Palace,Aston Villa,0,0,D,E0_2018.csv
Everton,Wolves,1,1,D,E0_2018.csv
Fulham,Chelsea,2,1,H,E0_2018.csv
Man City,Brighton,1,1,D,E0_2018.csv
Burnley,Man United,2,2,D,E0_2018.csv
Newcastle,Leeds,4,3,H,E0_2018.csv
Arsenal,Liverpool,0,0,D,E0_2018.csv
Man United,Man City,2,0,H,E0_2018.csv
Chelsea,Brentford,2,0,H,E0_2018.csv
Leeds,Fulham,1,0,H,E0_2018.csv
Liverpool,Burnley,1,1,D,E0_2018.csv
Sunderland,Crystal Palace,2,1,H,E0_2018.csv
Tottenham,West Ham,1,2,A,E0_2018.csv
Nott'm Forest,Arsenal,0,0,D,E0_2018.csv
Wolves,Newcastle,0,0,D,E0_2018.csv
Aston Villa,Everton,0,1,A,E0_2018.csv
Brighton,Bournemouth,1,1,D,E0_2018.csv
West Ham,Sunderland,3,1,H,E0_2018.csv
Burnley,Tottenham,2,2,D,E0_2018.csv
Fulham,Brighton,2,1,H,E0_2018.csv
Man City,Wolves,2,0,H,E0_2018.csv
Bournemouth,Liverpool,3,2,H,E0_2018.csv
Brentford,Nott'm Forest,0,2,A,E0_2018.csv
Crystal Palace,Chelsea,1,3,A,E0_2018.csv
Newcastle,Aston Villa,0,2,A,E0_2018.csv
Arsenal,Man United,2,3,A,E0_2018.csv
Everton,Leeds,1,1,D,E0_2018.csv
Brighton,Everton,1,1,D,E0_2018.csv
Leeds,Arsenal,0,4,A,E0_2018.csv
Wolves,Bournemouth,0,2,A,E0_2018.csv
Chelsea,West Ham,3,2,H,E0_2018.csv
Liverpool,Newcastle,4,1,H,E0_2018.csv
Aston Villa,Brentford,0,1,A,E0_2018.csv
Man United,Fulham,3,2,H,E0_2018.csv
Nott'm Forest,Crystal Palace,1,1,D,E0_2018.csv
Tottenham,Man City,2,2,D,E0_2018.csv
Sunderland,Burnley,3,0,H,E0_2018.csv
Leeds,Nott'm Forest,3,1,H,E0_2018.csv
Man United,Tottenham,2,0,H,E0_2018.csv
Arsenal,Sunderland,3,0,H,E0_2018.csv
Bournemouth,Aston Villa,1,1,D,E0_2018.csv
Burnley,West Ham,0,2,A,E0_2018.csv
Fulham,Everton,1,2,A,E0_2018.csv
Wolves,Chelsea,1,3,A,E0_2018.csv
Newcastle,Brentford,2,3,A,E0_2018.csv
Brighton,Crystal Palace,0,1,A,E0_2018.csv
Liverpool,Man City,1,2,A,E0_2018.csv
Chelsea,Leeds,2,2,D,E0_2018.csv
Everton,Bournemouth,1,2,A,E0_2018.csv
Tottenham,Newcastle,1,2,A,E0_2018.csv
West Ham,Man United,1,1,D,E0_2018.csv
Aston Villa,Brighton,1,0,H,E0_2018.csv
Crystal Palace,Burnley,2,3,A,E0_2018.csv
Man City,Fulham,3,0,H,E0_2018.csv
Nott'm Forest,Wolves,0,0,D,E0_2018.csv
Sunderland,Liverpool,0,1,A,E0_2018.csv
Brentford,Arsenal,1,1,D,E0_2018.csv
Wolves,Arsenal,2,2,D,E0_2018.csv
Aston Villa,Leeds,1,1,D,E0_2018.csv
Brentford,Brighton,0,2,A,E0_2018.csv
Chelsea,Burnley,1,1,D,E0_2018.csv
